Divination	BNG	2014-02-07 22:58:09	4
Sudden Storm	BNG	2014-02-07 22:58:51	4
Whelming Wave	BNG	2014-02-07 22:58:58	1
Eye Gouge	BNG	2014-02-07 22:59:05	5
Claim of Erebos	BNG	2014-02-07 22:59:16	3
Grisly Transformation	BNG	2014-02-07 22:59:25	4
Necrobite	BNG	2014-02-07 22:59:32	3
Drown in Sorrow	BNG	2014-02-07 22:59:40	2
Asphyxiate	BNG	2014-02-07 22:59:53	4
Weight of the Underworld	BNG	2014-02-07 23:02:07	1
Sanguimancy	BNG	2014-02-07 23:02:33	1
Fated Return	BNG	2014-02-07 23:02:42	1
Epiphany Storm	BNG	2014-02-07 23:02:53	4
Fall of the Hammer	BNG	2014-02-07 23:03:03	3
Rise to the Challenge	BNG	2014-02-07 23:03:15	4
Scouring Sands	BNG	2014-02-07 23:03:25	3
Thunderous Might	BNG	2014-02-07 23:03:36	1
Searing Blood	BNG	2014-02-07 23:03:45	2
Fearsome Temper	BNG	2014-02-07 23:04:00	3
Bolt of Keranos	BNG	2014-02-07 23:04:08	2
Lightning Volley	BNG	2014-02-07 23:04:15	1
Fated Conflagration	BNG	2014-02-07 23:04:22	1
Pinnacle of Rage	BNG	2014-02-07 23:04:29	1
Aspect of Hydra	BNG	2014-02-07 23:04:38	4
Karametra's Favor	BNG	2014-02-07 23:04:47	4
Mortal's Resolve	BNG	2014-02-07 23:04:57	4
Skyreaping	BNG	2014-02-07 23:05:04	1
Culling Mark	BNG	2014-02-07 23:05:11	4
Peregrination	BNG	2014-02-07 23:05:32	1
Hunter's Prowess	BNG	2014-02-07 23:05:41	1
Mischief and Mayhem	BNG	2014-02-07 23:05:50	1
Reap What Is Sown	BNG	2014-02-07 23:06:02	1
Gorgon's Head	BNG	2014-02-07 23:06:08	2
Springleaf Drum	BNG	2014-02-07 23:06:16	1
Siren Song Lyre	BNG	2014-02-07 23:06:24	1
Heroes' Podium	BNG	2014-02-07 23:06:43	1
Astral Cornucopia	BNG	2014-02-07 23:06:50	1
Temple of Enlightenment	BNG	2014-02-07 23:07:00	1
Temple of Malice	BNG	2014-02-07 23:07:06	1
Thallid	FEM	2014-02-07 23:16:24	1
Thermokarst	ICE	2014-02-07 23:21:40	1
Giant Oyster	HML	2014-02-07 23:22:26	1
Memory Lapse	HML	2014-02-07 23:22:37	1
Tempting Licid	STH	2014-02-07 23:22:46	1
